item_id,project_id,category,sub_category,item_name,unit,quantity,rate_per_unit_inr,amount_inr
ITM000209,PRJ0007,Plumbing,Pumps,Centrifugal water pump set,nos,9.0,18705.6,168350.4
ITM000211,PRJ0008,Civil,Concrete,RCC M25 for footings/columns,cum,4417.39,9487.38,41909457.54
ITM000213,PRJ0008,Civil,Earthwork,Backfilling with excavated earth,cum,1540.03,206.28,317677.39
ITM000214,PRJ0008,Civil,Concrete,RCC M25 for slabs/beams,cum,4826.67,10599.24,51159033.73
ITM000221,PRJ0008,Civil,Painting,Exterior weatherproof paint,sqm,140441.43,138.52,19453946.88
ITM000223,PRJ0008,Civil,Flooring,Granite flooring,sqm,23460.27,2035.93,47763467.5
ITM000234,PRJ0008,Electrical,Switchgear,Main LT panel (custom),nos,2.0,135678.37,271356.74
ITM000242,PRJ0008,Plumbing,Sanitary Fittings,Wash basin with fittings,nos,105.0,4490.77,471530.85
ITM000243,PRJ0009,Civil,Doors and Windows,Flush doors with frame,nos,77.0,10412.7,801777.9
ITM000244,PRJ0009,Civil,Earthwork,Excavation for foundation,cum,2641.57,259.74,686121.39
ITM000266,PRJ0009,Electrical,Conduiting,PVC conduit pipe 25mm with accessories,meter,77078.51,67.38,5193550.0
ITM000279,PRJ0010,Civil,Concrete,RCC M25 for footings/columns,cum,2846.71,8955.09,25492544.25
ITM000284,PRJ0010,Civil,Earthwork,Excavation for foundation,cum,941.44,249.49,234879.87
ITM000289,PRJ0010,Electrical,Lighting,Emergency exit light,nos,34.0,1336.15,45429.1
ITM000290,PRJ0010,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,79555.92,34.47,2742292.56
ITM000302,PRJ0010,Plumbing,Drainage,PVC SWR pipe 110mm with fittings,meter,7945.61,268.02,2129582.39
ITM000309,PRJ0011,Civil,Reinforcement,TMT steel bars Fe 500,kg,519162.71,76.28,39601731.52
ITM000310,PRJ0011,Civil,Doors and Windows,Flush doors with frame,nos,178.0,10092.33,1796434.74
ITM000347,PRJ0012,Civil,Flooring,Granite flooring,sqm,100312.06,2671.08,267941537.22
ITM000349,PRJ0012,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,447082.69,38.21,17083029.58
ITM000351,PRJ0012,Electrical,Switchgear,MCB distribution board (8-way),nos,537.0,2550.53,1369634.61
ITM000361,PRJ0012,Plumbing,Pumps,Centrifugal water pump set,nos,21.0,29198.2,613162.2
ITM000367,PRJ0013,Civil,Flooring,Granite flooring,sqm,67644.57,3390.3,229335385.67
ITM000371,PRJ0013,Civil,Earthwork,Excavation for foundation,cum,7811.58,268.43,2096862.42
ITM000373,PRJ0013,Civil,Masonry,AAC block masonry (200mm),sqm,93613.02,708.71,66344483.4
ITM000383,PRJ0013,Electrical,Cable Trays,GI perforated cable tray,meter,19875.02,576.54,11458744.03
ITM000393,PRJ0014,Civil,Waterproofing,Terrace waterproofing (APP membrane),sqm,19374.42,481.51,9328976.97
ITM000395,PRJ0014,Civil,Masonry,Brickwork in CM 1:6 (230mm),sqm,106323.68,831.79,88438973.79
ITM000398,PRJ0014,Civil,Structural Steel,Structural steel fabrication & erection,kg,522167.33,155.09,80982931.21
ITM000400,PRJ0014,Civil,Plastering,External cement plaster 20mm,sqm,214463.18,359.72,77146695.11
ITM000401,PRJ0014,Civil,Concrete,RCC M25 for footings/columns,cum,7430.59,9236.94,68635913.99
ITM000413,PRJ0014,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,216291.68,40.33,8723043.45
ITM000416,PRJ0014,Plumbing,Water Tank,Overhead RCC/PVC water tank,nos,7.0,100894.37,706260.59
ITM000422,PRJ0015,Civil,Earthwork,Backfilling with excavated earth,cum,780.47,146.79,114565.19
ITM000427,PRJ0015,Civil,Painting,Exterior weatherproof paint,sqm,54584.48,121.88,6652756.42
ITM000429,PRJ0015,Civil,Masonry,AAC block masonry (200mm),sqm,23826.59,586.23,13967861.86
ITM000446,PRJ0015,Electrical,Switchgear,Main LT panel (custom),nos,1.0,158667.19,158667.19
ITM000451,PRJ0015,Electrical,Lighting,LED street/flood light 50W,nos,81.0,2323.83,188230.23
ITM000452,PRJ0015,Plumbing,Water Supply,CPVC pipe 25mm with fittings,meter,15837.3,181.38,2872569.47
ITM000468,PRJ0016,Civil,Plastering,Internal cement plaster 12mm,sqm,154999.25,170.82,26476971.88
ITM000486,PRJ0017,Civil,Waterproofing,Terrace waterproofing (APP membrane),sqm,22010.9,411.84,9064969.06
ITM000492,PRJ0017,Civil,Concrete,PCC (Plain Cement Concrete) 1:4:8,cum,2786.68,5497.81,15320637.17
ITM000499,PRJ0017,Civil,Flooring,Granite flooring,sqm,49658.26,2469.98,122654909.03
ITM000503,PRJ0017,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,260656.67,43.24,11270794.41
ITM000513,PRJ0017,Electrical,Transformer,Distribution transformer (as per load calc),nos,1.0,726352.54,726352.54
ITM000515,PRJ0017,Plumbing,Drainage,PVC SWR pipe 110mm with fittings,meter,33076.69,360.91,11937708.19
ITM000519,PRJ0018,Civil,Concrete,RCC M25 for slabs/beams,cum,1472.37,8536.13,12568341.73
ITM000526,PRJ0018,Civil,Plastering,External cement plaster 20mm,sqm,60136.84,292.6,17596039.38
ITM000535,PRJ0018,Electrical,Switchgear,MCB distribution board (8-way),nos,51.0,2560.08,130564.08
ITM000538,PRJ0018,Electrical,Cable Trays,GI perforated cable tray,meter,2063.09,392.05,808834.43
ITM000539,PRJ0018,Electrical,Lighting,LED panel light 18W,nos,540.0,712.11,384539.4
ITM000542,PRJ0018,Electrical,Earthing,Earthing pit with GI strip,nos,11.0,3688.46,40573.06
ITM000552,PRJ0018,Plumbing,Sanitary Fittings,Water closet (WC) with flush tank,nos,50.0,6319.9,315995.0
ITM000554,PRJ0018,Plumbing,Water Supply,CPVC pipe 25mm with fittings,meter,11282.98,256.81,2897582.09
ITM000558,PRJ0019,Civil,Plastering,External cement plaster 20mm,sqm,226349.19,317.9,71956407.5
ITM000565,PRJ0019,Civil,Painting,Interior emulsion paint (2 coats),sqm,458128.47,99.46,45565457.63
ITM000570,PRJ0019,Civil,Flooring,Granite flooring,sqm,38844.36,2916.98,113308221.23
ITM000573,PRJ0019,Civil,Plastering,Internal cement plaster 12mm,sqm,397020.03,235.82,93625263.47
ITM000582,PRJ0019,Electrical,Transformer,Distribution transformer (as per load calc),nos,1.0,520626.49,520626.49
ITM000584,PRJ0019,Electrical,Lighting,Emergency exit light,nos,110.0,1107.14,121785.4
ITM000585,PRJ0019,Electrical,Lighting,LED panel light 18W,nos,1680.0,790.15,1327452.0
ITM000601,PRJ0020,Civil,Concrete,RCC M25 for slabs/beams,cum,8458.21,10523.48,89009803.77
ITM000607,PRJ0020,Electrical,Cable Trays,GI perforated cable tray,meter,20303.49,515.06,10457515.56
ITM000611,PRJ0020,Electrical,Fire Safety Electrical,Fire alarm panel & detectors,nos,30.0,41466.25,1243987.5
ITM000626,PRJ0021,Civil,Doors and Windows,Aluminium windows with glazing,sqm,22372.64,5252.17,117504908.63
ITM000628,PRJ0021,Civil,Concrete,RCC M25 for footings/columns,cum,10859.41,9746.66,105842977.07
ITM000633,PRJ0021,Civil,Reinforcement,TMT steel bars Fe 500,kg,1414162.28,83.3,117799717.92
ITM000642,PRJ0021,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,385742.09,38.93,15016939.56
ITM000643,PRJ0021,Electrical,Wiring,PVC insulated copper wire 4 sqmm,meter,224542.08,58.96,13239001.04
ITM000644,PRJ0021,Electrical,Lighting,Emergency exit light,nos,377.0,1440.87,543207.99
ITM000646,PRJ0021,Electrical,Switchgear,Main LT panel (custom),nos,3.0,142978.95,428936.85
ITM000659,PRJ0022,Civil,Painting,Interior emulsion paint (2 coats),sqm,3041.01,136.08,413820.64
ITM000675,PRJ0022,Electrical,Cables,XLPE armoured cable 3.5C x 50 sqmm,meter,13.41,726.65,9744.38
ITM000677,PRJ0022,Electrical,Switchgear,MCB distribution board (8-way),nos,1.0,2100.81,2100.81
ITM000680,PRJ0022,Electrical,DG Set,Diesel generator set (backup),nos,1.0,642118.06,642118.06
ITM000681,PRJ0022,Electrical,Sockets and Switches,Modular switch/socket points,nos,13.0,380.08,4941.04
ITM000685,PRJ0022,Plumbing,Water Supply,CPVC pipe 25mm with fittings,meter,269.51,194.91,52530.19
ITM000694,PRJ0023,Civil,Earthwork,Backfilling with excavated earth,cum,2657.54,147.59,392226.33
ITM000699,PRJ0023,Civil,Plastering,Internal cement plaster 12mm,sqm,308502.67,271.54,83770815.01
ITM000712,PRJ0023,Electrical,DG Set,Diesel generator set (backup),nos,1.0,744221.34,744221.34
ITM000713,PRJ0023,Electrical,Sockets and Switches,Modular switch/socket points,nos,2304.0,463.4,1067673.6
ITM000734,PRJ0024,Civil,Structural Steel,Structural steel fabrication & erection,kg,3635.3,123.31,448268.84
ITM000741,PRJ0024,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,3348.63,35.08,117469.94
ITM000743,PRJ0024,Electrical,Switchgear,MCB distribution board (8-way),nos,2.0,2501.56,5003.12
ITM000782,PRJ0025,Electrical,DG Set,Diesel generator set (backup),nos,1.0,457426.47,457426.47
ITM000783,PRJ0025,Electrical,Cables,XLPE armoured cable 3.5C x 50 sqmm,meter,49.83,803.81,40053.85
ITM000784,PRJ0025,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,2036.46,33.69,68608.34
ITM000786,PRJ0025,Electrical,Cable Trays,GI perforated cable tray,meter,134.34,437.65,58793.9
ITM000793,PRJ0026,Civil,Concrete,PCC (Plain Cement Concrete) 1:4:8,cum,13.32,4590.96,61151.59
ITM000796,PRJ0026,Civil,Doors and Windows,Flush doors with frame,nos,1.0,10193.18,10193.18
ITM000797,PRJ0026,Civil,Concrete,RCC M25 for footings/columns,cum,48.19,7806.8,376209.69
ITM000800,PRJ0026,Civil,Plastering,Internal cement plaster 12mm,sqm,3258.08,217.78,709544.66
ITM000801,PRJ0026,Civil,Flooring,Granite flooring,sqm,153.23,2225.69,341042.48
ITM000810,PRJ0026,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,1026.94,32.08,32944.24
ITM000821,PRJ0027,Civil,Doors and Windows,Aluminium windows with glazing,sqm,20853.76,4575.6,95418464.26
ITM000823,PRJ0027,Civil,Plastering,Internal cement plaster 12mm,sqm,530441.23,251.73,133527970.83
ITM000831,PRJ0027,Civil,Painting,Exterior weatherproof paint,sqm,188669.23,124.51,23491205.83
ITM000839,PRJ0027,Electrical,Lighting,Emergency exit light,nos,179.0,1162.62,208108.98
ITM000840,PRJ0027,Electrical,Sockets and Switches,Modular switch/socket points,nos,2357.0,518.85,1222929.45
ITM000845,PRJ0027,Electrical,Switchgear,MCCB panel 200A,nos,24.0,25954.8,622915.2
ITM000848,PRJ0027,Electrical,Cables,XLPE armoured cable 3.5C x 95 sqmm,meter,1978.4,1267.26,2507147.18
ITM000863,PRJ0028,Civil,Painting,Exterior weatherproof paint,sqm,161236.63,163.86,26420234.19
ITM000864,PRJ0028,Civil,Roofing,RCC roof slab with waterproofing,sqm,161425.16,1510.87,243892431.49
ITM000869,PRJ0028,Civil,Doors and Windows,Aluminium windows with glazing,sqm,11322.97,6486.77,73449502.11
ITM000871,PRJ0028,Civil,Structural Steel,Structural steel fabrication & erection,kg,385854.72,147.66,56975307.96
ITM000872,PRJ0028,Civil,Concrete,RCC M25 for slabs/beams,cum,4980.24,11628.85,57914463.92
ITM000873,PRJ0028,Civil,Flooring,Granite flooring,sqm,18549.59,2325.54,43137813.53
ITM000878,PRJ0028,Electrical,Switchgear,MCCB panel 200A,nos,9.0,28000.72,252006.48
ITM000894,PRJ0028,Plumbing,Water Tank,Overhead RCC/PVC water tank,nos,5.0,119317.66,596588.3
ITM000900,PRJ0029,Civil,Earthwork,Backfilling with excavated earth,cum,1352.04,138.55,187325.14
ITM000905,PRJ0029,Civil,Structural Steel,Structural steel fabrication & erection,kg,293351.79,107.69,31591054.27
ITM000910,PRJ0029,Electrical,Cables,XLPE armoured cable 3.5C x 95 sqmm,meter,1653.34,1370.85,2266481.14
ITM000912,PRJ0029,Electrical,Lighting,LED panel light 18W,nos,1451.0,525.41,762369.91
ITM000917,PRJ0029,Electrical,Transformer,Distribution transformer (as per load calc),nos,1.0,839419.92,839419.92
ITM000940,PRJ0030,Civil,Roofing,RCC roof slab with waterproofing,sqm,115531.77,1187.06,137143142.9
ITM000941,PRJ0030,Civil,Painting,Exterior weatherproof paint,sqm,107543.7,116.6,12539595.42
ITM000947,PRJ0030,Electrical,Wiring,PVC insulated copper wire 4 sqmm,meter,50998.59,50.31,2565739.06
ITM000953,PRJ0030,Electrical,Lighting,Emergency exit light,nos,108.0,1092.61,118001.88
ITM000969,PRJ0031,Civil,Doors and Windows,Flush doors with frame,nos,199.0,13483.96,2683308.04
ITM000973,PRJ0031,Civil,Concrete,PCC (Plain Cement Concrete) 1:4:8,cum,2321.49,5848.28,13576723.54
ITM000974,PRJ0031,Civil,Masonry,AAC block masonry (200mm),sqm,61092.92,748.04,45699947.88
ITM000986,PRJ0031,Electrical,Conduiting,PVC conduit pipe 25mm with accessories,meter,150341.16,57.78,8686712.22
ITM000992,PRJ0032,Civil,Earthwork,Backfilling with excavated earth,cum,3220.4,187.15,602697.86
ITM001005,PRJ0032,Electrical,Conduiting,PVC conduit pipe 25mm with accessories,meter,113811.89,64.69,7362491.16
ITM001006,PRJ0032,Electrical,Switchgear,Main LT panel (custom),nos,2.0,157906.4,315812.8
ITM001013,PRJ0032,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,262137.21,36.13,9471017.4
ITM001017,PRJ0032,Plumbing,Drainage,PVC SWR pipe 110mm with fittings,meter,25188.31,297.7,7498559.89
ITM001018,PRJ0032,Plumbing,Pumps,Centrifugal water pump set,nos,7.0,39974.99,279824.93
ITM001025,PRJ0033,Civil,Painting,Exterior weatherproof paint,sqm,37694.65,122.79,4628526.07
ITM001031,PRJ0033,Electrical,DG Set,Diesel generator set (backup),nos,1.0,716090.09,716090.09
ITM001033,PRJ0033,Electrical,Lighting,LED street/flood light 50W,nos,61.0,1934.61,118011.21
ITM001034,PRJ0033,Electrical,Switchgear,MCB distribution board (8-way),nos,37.0,2224.49,82306.13
ITM001037,PRJ0033,Electrical,Lighting,LED panel light 18W,nos,441.0,676.52,298345.32
ITM001039,PRJ0033,Electrical,Earthing,Earthing pit with GI strip,nos,11.0,3358.8,36946.8
ITM001076,PRJ0034,Electrical,Switchgear,Main LT panel (custom),nos,1.0,206382.5,206382.5
ITM001077,PRJ0034,Electrical,Switchgear,MCCB panel 200A,nos,1.0,26066.34,26066.34
ITM001078,PRJ0034,Plumbing,Water Tank,Overhead RCC/PVC water tank,nos,1.0,59619.51,59619.51
ITM001080,PRJ0034,Plumbing,Water Supply,CPVC pipe 25mm with fittings,meter,190.22,257.67,49013.99
ITM001090,PRJ0035,Civil,Flooring,Vitrified tile flooring,sqm,236556.98,881.26,208468204.19
ITM001098,PRJ0035,Electrical,Switchgear,MCB distribution board (8-way),nos,297.0,2061.38,612229.86
ITM001099,PRJ0035,Electrical,Transformer,Distribution transformer (as per load calc),nos,1.0,824380.21,824380.21
ITM001106,PRJ0035,Electrical,Lighting,LED street/flood light 50W,nos,269.0,1845.33,496393.77
ITM001107,PRJ0035,Electrical,Lighting,LED panel light 18W,nos,3256.0,632.22,2058508.32
ITM001116,PRJ0035,Plumbing,Water Supply,CPVC pipe 25mm with fittings,meter,56794.87,252.36,14332753.39
ITM001120,PRJ0036,Civil,Structural Steel,Structural steel fabrication & erection,kg,94030.56,132.8,12487258.37
ITM001122,PRJ0036,Civil,Earthwork,Backfilling with excavated earth,cum,1287.05,177.29,228181.09
ITM001123,PRJ0036,Civil,Doors and Windows,Aluminium windows with glazing,sqm,5826.51,5168.39,30113676.02
ITM001134,PRJ0036,Civil,Masonry,AAC block masonry (200mm),sqm,18170.69,574.14,10432519.96
ITM001138,PRJ0036,Electrical,Switchgear,MCCB panel 200A,nos,4.0,18773.62,75094.48
ITM001143,PRJ0036,Electrical,Switchgear,Main LT panel (custom),nos,1.0,155157.99,155157.99
ITM001150,PRJ0036,Electrical,Cable Trays,GI perforated cable tray,meter,3138.37,546.27,1714397.38
ITM001154,PRJ0036,Plumbing,Water Supply,CPVC pipe 25mm with fittings,meter,11555.14,217.13,2508967.55
ITM001155,PRJ0036,Plumbing,Drainage,PVC SWR pipe 110mm with fittings,meter,7968.37,283.82,2261582.77
ITM001158,PRJ0037,Civil,Earthwork,Backfilling with excavated earth,cum,288.13,138.52,39911.77
ITM001159,PRJ0037,Civil,Roofing,RCC roof slab with waterproofing,sqm,15886.68,1275.74,20267273.14
ITM001168,PRJ0037,Electrical,Wiring,PVC insulated copper wire 4 sqmm,meter,5054.19,48.6,245633.63
ITM001169,PRJ0037,Electrical,Cables,XLPE armoured cable 3.5C x 95 sqmm,meter,176.28,1056.71,186276.84
ITM001172,PRJ0037,Electrical,Cable Trays,GI perforated cable tray,meter,931.69,403.23,375685.36
ITM001184,PRJ0038,Civil,Plastering,External cement plaster 20mm,sqm,11497.17,301.67,3468351.27
ITM001186,PRJ0038,Civil,Waterproofing,Terrace waterproofing (APP membrane),sqm,992.3,506.91,503006.79
ITM001188,PRJ0038,Civil,Roofing,RCC roof slab with waterproofing,sqm,11266.12,1760.85,19837947.4
ITM001190,PRJ0038,Civil,Masonry,Brickwork in CM 1:6 (230mm),sqm,4759.66,852.14,4055896.67
ITM001196,PRJ0038,Electrical,Conduiting,PVC conduit pipe 25mm with accessories,meter,5812.78,53.71,312204.41
ITM001215,PRJ0039,Civil,Concrete,PCC (Plain Cement Concrete) 1:4:8,cum,2538.43,5060.11,12844735.03
ITM001226,PRJ0039,Electrical,Cable Trays,GI perforated cable tray,meter,12960.25,491.81,6373980.55
ITM001233,PRJ0039,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,271827.76,32.45,8820810.81
ITM001237,PRJ0039,Electrical,Earthing,Earthing pit with GI strip,nos,44.0,4619.98,203279.12
ITM001248,PRJ0040,Civil,Flooring,Granite flooring,sqm,12257.38,2084.53,25550876.33
ITM001249,PRJ0040,Civil,Flooring,Vitrified tile flooring,sqm,71158.03,886.87,63107922.07
ITM001260,PRJ0040,Civil,Masonry,AAC block masonry (200mm),sqm,21591.33,647.11,13971965.56
ITM001261,PRJ0040,Civil,Concrete,PCC (Plain Cement Concrete) 1:4:8,cum,834.41,4643.13,3874274.1
ITM001269,PRJ0040,Electrical,Lighting,Emergency exit light,nos,50.0,1079.83,53991.5
ITM001273,PRJ0040,Electrical,Cables,XLPE armoured cable 3.5C x 95 sqmm,meter,578.89,1375.72,796390.55
ITM001290,PRJ0041,Civil,Plastering,External cement plaster 20mm,sqm,61272.54,295.52,18107261.02
ITM001302,PRJ0041,Electrical,Wiring,PVC insulated copper wire 2.5 sqmm,meter,59889.98,30.25,1811671.9
ITM001306,PRJ0041,Electrical,Earthing,Earthing pit with GI strip,nos,18.0,4492.22,80859.96
ITM001309,PRJ0041,Electrical,Conduiting,PVC conduit pipe 25mm with accessories,meter,44494.43,54.33,2417382.38
ITM001319,PRJ0042,Civil,Concrete,RCC M25 for slabs/beams,cum,2035.51,10598.6,21573556.29
ITM001323,PRJ0042,Civil,Waterproofing,Terrace waterproofing (APP membrane),sqm,6028.83,389.09,2345757.46
ITM001328,PRJ0042,Civil,Reinforcement,TMT steel bars Fe 500,kg,223752.17,68.71,15374011.6
ITM001330,PRJ0042,Electrical,Switchgear,MCCB panel 200A,nos,9.0,20292.57,182633.13
ITM001331,PRJ0042,Electrical,Cables,XLPE armoured cable 3.5C x 50 sqmm,meter,1411.98,897.26,1266913.17
ITM001336,PRJ0042,Electrical,Wiring,PVC insulated copper wire 4 sqmm,meter,24960.83,54.36,1356870.72
ITM001340,PRJ0042,Electrical,Earthing,Earthing pit with GI strip,nos,28.0,4510.61,126297.08
ITM001348,PRJ0042,Plumbing,Sanitary Fittings,Wash basin with fittings,nos,85.0,5327.35,452824.75
ITM001365,PRJ0043,Electrical,Wiring,PVC insulated copper wire 4 sqmm,meter,137978.34,49.3,6802332.16
ITM001366,PRJ0043,Electrical,Earthing,Earthing pit with GI strip,nos,117.0,5817.16,680607.72
ITM001377,PRJ0043,Plumbing,Drainage,PVC SWR pipe 110mm with fittings,meter,30644.46,248.05,7601358.3
ITM001388,PRJ0044,Civil,Masonry,AAC block masonry (200mm),sqm,41954.36,736.5,30899386.14
ITM001392,PRJ0044,Electrical,Earthing,Earthing pit with GI strip,nos,30.0,5685.03,170550.9
ITM001401,PRJ0044,Electrical,Lighting,LED street/flood light 50W,nos,152.0,3028.5,460332.0
ITM001403,PRJ0044,Plumbing,Sanitary Fittings,Water closet (WC) with flush tank,nos,122.0,8582.75,1047095.5
ITM001405,PRJ0044,Plumbing,Drainage,PVC SWR pipe 110mm with fittings,meter,12897.42,293.77,3788875.07
ITM001406,PRJ0044,Plumbing,Pumps,Centrifugal water pump set,nos,4.0,42316.38,169265.52
ITM001407,PRJ0045,Civil,Earthwork,Excavation for foundation,cum,957.18,217.17,207870.78
ITM001414,PRJ0045,Civil,Concrete,PCC (Plain Cement Concrete) 1:4:8,cum,923.23,4593.67,4241013.95
ITM001426,PRJ0045,Electrical,Switchgear,MCB distribution board (8-way),nos,78.0,1895.8,147872.4
ITM001428,PRJ0045,Electrical,Conduiting,PVC conduit pipe 25mm with accessories,meter,36475.49,48.95,1785475.24
ITM001434,PRJ0045,Electrical,Sockets and Switches,Modular switch/socket points,nos,1054.0,375.8,396093.2
ITM001449,PRJ0046,Civil,Concrete,RCC M25 for footings/columns,cum,2497.43,7780.81,19432028.32
ITM001453,PRJ0046,Civil,Masonry,AAC block masonry (200mm),sqm,21829.67,527.53,11515805.82
ITM001456,PRJ0046,Civil,Earthwork,Backfilling with excavated earth,cum,817.09,153.77,125643.93
ITM001460,PRJ0046,Electrical,DG Set,Diesel generator set (backup),nos,1.0,498256.63,498256.63
ITM001472,PRJ0046,Electrical,Cable Trays,GI perforated cable tray,meter,4457.1,406.96,1813861.42
ITM001486,PRJ0047,Civil,Waterproofing,Terrace waterproofing (APP membrane),sqm,28849.32,324.0,9347179.68
ITM001508,PRJ0048,Civil,Painting,Exterior weatherproof paint,sqm,242382.03,111.44,27011053.42
ITM001519,PRJ0048,Civil,Earthwork,Backfilling with excavated earth,cum,2960.54,131.84,390317.59
ITM001527,PRJ0048,Electrical,Conduiting,PVC conduit pipe 25mm with accessories,meter,117292.36,53.96,6329095.75
ITM001544,PRJ0048,Plumbing,Sanitary Fittings,Wash basin with fittings,nos,208.0,5738.64,1193637.12
ITM001547,PRJ0049,Civil,Waterproofing,Terrace waterproofing (APP membrane),sqm,21258.33,414.08,8802649.29
ITM001552,PRJ0049,Civil,Doors and Windows,Flush doors with frame,nos,197.0,12005.67,2365116.99
ITM001557,PRJ0049,Electrical,Switchgear,MCCB panel 200A,nos,20.0,20967.66,419353.2
ITM001559,PRJ0049,Electrical,Cables,XLPE armoured cable 3.5C x 95 sqmm,meter,2925.9,1566.61,4583744.2
ITM001566,PRJ0049,Electrical,Cable Trays,GI perforated cable tray,meter,15551.69,527.95,8210514.74
ITM001571,PRJ0049,Electrical,Switchgear,Main LT panel (custom),nos,4.0,140969.73,563878.92
ITM001578,PRJ0050,Civil,Waterproofing,Terrace waterproofing (APP membrane),sqm,7075.07,435.92,3084164.51
ITM001585,PRJ0050,Civil,Roofing,RCC roof slab with waterproofing,sqm,95550.74,1469.2,140383147.21
ITM001589,PRJ0050,Civil,Doors and Windows,Aluminium windows with glazing,sqm,7709.64,5224.7,40280556.11
ITM001610,PRJ0050,Plumbing,Pumps,Centrifugal water pump set,nos,3.0,18346.16,55038.48
